Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Ticket_Soporte
FB-8000,TRX-17461,3.0,4,,,Sí,50.0,-17.5,True
FB-8001,TRX-17755,4.0,5,---,Maybe,Sí,59.0,-41.7,True
FB-8002,TRX-10534,3.0,4,No volvería,Maybe,0,84.0,-36.4,False
FB-8003,TRX-12569,2.0,3,---,,Sí,20.0,7.4,True
FB-8004,TRX-19159,4.0,2,Dañado,SI,No,83.0,61.0,False
FB-8005,TRX-16051,5.0,3,---,SI,Sí,77.0,95.0,True
FB-8006,TRX-11945,1.0,1,Precio justo,,Sí,46.0,63.4,True
FB-8007,TRX-19856,3.0,4,Precio justo,,0,24.0,-22.0,False
FB-8008,TRX-16694,1.0,4,Lento,NO,No,21.0,75.1,False
FB-8009,TRX-11807,1.0,4,No volvería,NO,No,67.0,64.8,False
FB-8010,TRX-11980,1.0,5,No volvería,NO,Sí,38.0,82.4,True
FB-8011,TRX-16055,5.0,5,---,,1,26.0,-86.9,True
FB-8012,TRX-19367,2.0,3,---,Maybe,1,77.0,-29.3,True
FB-8013,TRX-14744,4.0,2,Lento,,0,29.0,-90.7,False
FB-8014,TRX-10659,5.0,1,No volvería,,No,73.0,-35.7,False
FB-8015,TRX-18565,2.0,2,No volvería,,0,22.0,-43.9,False
FB-8016,TRX-12511,3.0,2,,,1,80.0,82.1,True
FB-8017,TRX-11929,4.0,1,Precio justo,SI,Sí,44.0,89.0,True
FB-8018,TRX-16086,2.0,5,Excelente,,0,66.0,39.0,False
FB-8019,TRX-14995,3.0,4,Dañado,SI,0,37.0,-43.4,False
FB-8020,TRX-16135,4.0,5,Dañado,,Sí,46.0,-98.6,True
FB-8021,TRX-14968,3.0,4,Excelente,Maybe,0,53.0,34.1,False
FB-8022,TRX-14816,5.0,4,Dañado,Maybe,Sí,25.0,-0.1,True
FB-8023,TRX-17961,3.0,5,Excelente,SI,0,47.0,-58.5,False
FB-8024,TRX-10458,1.0,2,No volvería,NO,No,78.0,-64.8,False
FB-8025,TRX-12340,5.0,4,Lento,NO,1,18.0,12.0,True
FB-8026,TRX-12328,3.0,5,,NO,1,52.0,-73.9,True
FB-8027,TRX-19660,5.0,2,No volvería,NO,0,63.0,9.8,False
FB-8028,TRX-16910,4.0,1,---,NO,No,35.0,83.2,False
FB-8029,TRX-10797,1.0,4,Lento,NO,No,72.0,58.3,False
FB-8030,TRX-14999,1.0,2,---,,Sí,48.0,88.3,True
FB-8031,TRX-14644,3.0,4,Excelente,SI,1,81.0,-50.3,True
FB-8032,TRX-13532,4.0,2,---,,1,37.0,90.4,True
FB-8033,TRX-12999,5.0,1,No volvería,Maybe,0,46.0,-5.0,False
FB-8034,TRX-18008,3.0,4,---,SI,1,60.0,26.1,True
FB-8035,TRX-10034,2.0,5,Excelente,SI,No,72.0,-41.2,False
FB-8036,TRX-12004,3.0,2,,Maybe,Sí,47.0,98.8,True
FB-8037,TRX-18970,2.0,1,,NO,No,50.0,-12.4,False
FB-8038,TRX-15712,1.0,4,---,NO,Sí,35.0,-62.5,True
FB-8039,TRX-11106,3.0,1,Precio justo,Maybe,1,66.0,14.8,True
FB-8040,TRX-10732,3.0,1,---,,0,70.0,-48.9,False
FB-8041,TRX-16841,1.0,4,,,Sí,68.0,-12.8,True
FB-8042,TRX-17883,5.0,4,,SI,Sí,27.0,-58.4,True
FB-8043,TRX-19389,3.0,2,Excelente,,Sí,82.0,-22.6,True
FB-8044,TRX-15074,4.0,5,,,1,45.0,-81.5,True
FB-8045,TRX-19269,1.0,1,No volvería,,No,35.0,-43.0,False
FB-8046,TRX-17411,5.0,4,Lento,Maybe,Sí,78.0,-50.2,True
FB-8047,TRX-15534,1.0,1,Precio justo,SI,Sí,26.0,89.5,True
FB-8048,TRX-16181,1.0,2,No volvería,Maybe,No,77.0,18.5,False
FB-8049,TRX-17786,5.0,2,No volvería,,No,43.0,-94.7,False
FB-8050,TRX-19923,5.0,2,No volvería,Maybe,1,60.0,82.7,True
FB-8051,TRX-12175,5.0,5,---,SI,1,50.0,28.9,True
FB-8052,TRX-12269,4.0,3,Precio justo,NO,1,37.0,-32.6,True
FB-8053,TRX-18270,2.0,3,No volvería,SI,No,33.0,-26.7,False
FB-8054,TRX-17551,1.0,3,,,0,49.0,-93.7,False
FB-8055,TRX-17371,3.0,5,Lento,,No,28.0,94.9,False
FB-8056,TRX-17357,2.0,5,,SI,No,79.0,72.1,False
FB-8057,TRX-12440,3.0,1,No volvería,NO,0,43.0,-86.9,False
FB-8058,TRX-15328,3.0,1,Dañado,NO,1,18.0,36.3,True
FB-8059,TRX-11463,3.0,2,Excelente,NO,0,29.0,-10.2,False
FB-8060,TRX-16711,4.0,5,---,SI,Sí,74.0,61.7,True
FB-8061,TRX-16344,4.0,3,Dañado,,No,67.0,24.7,False
FB-8062,TRX-13814,2.0,3,,,No,36.0,-17.4,False
FB-8063,TRX-16478,5.0,1,Lento,,0,22.0,-12.7,False
FB-8064,TRX-15554,4.0,2,Lento,Maybe,0,48.0,30.3,False
FB-8065,TRX-18863,1.0,2,Excelente,,Sí,39.0,30.9,True
FB-8066,TRX-10750,2.0,4,Lento,NO,1,83.0,11.5,True
FB-8067,TRX-17259,1.0,5,Lento,Maybe,Sí,21.0,76.8,True
FB-8068,TRX-14544,3.0,3,No volvería,SI,Sí,47.0,55.9,True
FB-8069,TRX-11450,1.0,3,Excelente,NO,No,40.0,-76.3,False
FB-8070,TRX-12713,4.0,1,---,SI,No,75.0,74.4,False
FB-8071,TRX-10406,1.0,1,Dañado,,No,38.0,-59.6,False
FB-8072,TRX-19371,3.0,5,No volvería,Maybe,No,71.0,90.1,False
FB-8073,TRX-15060,3.0,1,No volvería,SI,Sí,76.0,61.5,True
FB-8074,TRX-19192,4.0,1,Dañado,NO,No,24.0,81.8,False
