Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS
FB-10332,TRX-12431,5,3,Lento,,1,195,-7.1
FB-11397,TRX-19437,5,5,---,SI,0,26,-38.3
FB-11415,TRX-18096,2,2,No volvería,,No,37,-22.3
FB-9604,TRX-13245,1,4,Precio justo,NO,No,53,-61.5
FB-8208,TRX-12947,1,1,Excelente,,No,66,52.3
FB-9367,TRX-17439,1,5,Dañado,SI,No,30,61.2
FB-8032,TRX-10254,3,5,Lento,Maybe,Sí,35,46.9
FB-8420,TRX-12732,2,3,Dañado,SI,0,74,-7.4
FB-10582,TRX-11979,1,4,No volvería,,No,25,-57.0
FB-11471,TRX-16858,2,4,---,SI,1,59,92.5
FB-10920,TRX-14315,3,5,,Maybe,1,25,54.2
FB-9768,TRX-19086,1,5,Dañado,NO,0,77,55.2
FB-9702,TRX-17698,2,1,No volvería,NO,No,75,24.9
FB-11475,TRX-11654,2,4,Precio justo,NO,0,41,-43.6
FB-10030,TRX-12070,3,5,No volvería,SI,Sí,61,-63.4
FB-11019,TRX-10558,2,1,Lento,Maybe,1,80,-77.6
FB-10370,TRX-17068,3,3,,Maybe,Sí,68,24.7
FB-10440,TRX-10392,5,4,Lento,NO,Sí,25,-64.2
FB-10994,TRX-12735,2,2,Precio justo,NO,Sí,57,-25.0
FB-10270,TRX-11196,3,2,Excelente,NO,1,50,63.9
FB-9191,TRX-12168,4,5,---,,0,38,-42.0
FB-8151,TRX-18436,1,5,Lento,,1,50,-46.9
FB-9996,TRX-18672,1,1,Precio justo,Maybe,1,72,43.5
FB-9637,TRX-16358,1,5,,NO,No,82,4.1
FB-9991,TRX-16919,3,5,---,Maybe,0,74,12.5
FB-10102,TRX-15805,3,1,---,SI,Sí,31,-74.2
FB-10420,TRX-12088,1,2,Precio justo,,No,42,-42.9
FB-10968,TRX-16591,3,1,Lento,NO,1,56,-26.1
FB-10504,TRX-19124,2,4,Precio justo,SI,1,40,94.0
FB-11830,TRX-13955,2,4,Precio justo,Maybe,0,60,-91.7
FB-10779,TRX-14806,2,5,Dañado,SI,Sí,73,71.1
FB-11707,TRX-11950,5,5,Precio justo,,1,34,-75.0
FB-11345,TRX-15518,1,2,Lento,SI,Sí,48,97.5
FB-11553,TRX-15515,4,2,Lento,NO,1,69,-61.4
FB-9998,TRX-19690,1,3,Lento,NO,No,45,-42.2
FB-8949,TRX-19973,2,4,Dañado,,0,24,65.9
FB-10925,TRX-11765,1,4,Lento,Maybe,1,35,-28.4
FB-8248,TRX-10741,5,3,---,Maybe,1,23,29.7
FB-10163,TRX-11208,2,3,Precio justo,Maybe,No,83,16.8
FB-8077,TRX-15815,5,4,No volvería,Maybe,No,37,37.3
FB-9728,TRX-17354,5,5,---,SI,Sí,19,64.7
FB-10360,TRX-16699,5,4,Dañado,Maybe,Sí,42,-40.1
FB-9293,TRX-17368,2,3,No volvería,,1,23,74.8
FB-10266,TRX-17138,5,2,Excelente,SI,No,60,95.0
FB-8260,TRX-14739,5,1,,Maybe,Sí,46,34.5
FB-9097,TRX-17816,4,2,No volvería,NO,0,26,13.2
