Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-10001,PROD-1456,2025-07-29,12,686.88,67.16,29,Entregado,Ventas_Web,WhatsApp
TRX-10002,PROD-1102,2025-05-31,2,402.06,32.55,13,Perdido,Medellín,Físico
TRX-10003,PROD-2126,2026-01-23,4,665.98,62.64,12,Perdido,Medellín,Online
TRX-10004,PROD-2003,2025-10-09,5,1222.62,52.91,15,Entregado,Bogotá,App
TRX-10005,PROD-1914,2025-11-05,2,740.61,25.63,29,Retrasado,Medellín,Online
TRX-10006,PROD-1571,2025-06-20,12,1349.06,30.32,23,Desconocido,Bogotá,Físico
TRX-10007,PROD-1419,2025-11-18,8,481.5,21.21,13,Perdido,Cali,App
TRX-10008,PROD-3771,2025-11-03,1,1404.98,10.38,6,Desconocido,Medellín,App
TRX-10009,PROD-3233,2025-03-21,3,701.4,63.82,26,Desconocido,Medellín,Físico
TRX-10010,PROD-1356,2025-04-04,7,917.18,68.91,14,Entregado,Bogotá,App
TRX-10011,PROD-3418,2025-12-07,10,1119.91,20.77,3,Devuelto,Bogotá,Físico
TRX-10012,PROD-2728,2025-08-01,1,1375.59,52.345,8,Entregado,Cali,App
TRX-10013,PROD-1130,2024-12-10,13,485.04,63.46,12,Entregado,Barranquilla,Físico
TRX-10014,PROD-1122,2025-03-21,11,1673.53,98.3,14,Devuelto,Ventas_Web,Online
TRX-10015,PROD-1383,2026-01-27,2,1446.47,12.07,5,Desconocido,Bucaramanga,App
TRX-10016,PROD-1895,2025-03-04,3,475.85,51.59,2,Perdido,Ventas_Web,WhatsApp
TRX-10017,PROD-1952,2025-04-12,14,1950.2,74.64,10,Desconocido,Ventas_Web,Online
TRX-10018,PROD-3069,2024-10-06,14,1332.95,9.37,3,Devuelto,Cali,WhatsApp
TRX-10019,PROD-3465,2025-09-04,2,910.33,78.94,23,Perdido,Medellín,Online
TRX-10020,PROD-1108,2025-05-26,2,323.48,98.05,10,Retrasado,Bogotá,Online
TRX-10021,PROD-3298,2024-10-06,12,1071.11,13.41,9,Perdido,Bogotá,Online
TRX-10022,PROD-1814,2024-12-30,11,337.9,83.11,17,En Camino,Bogotá,WhatsApp
TRX-10023,PROD-3932,2024-10-25,6,864.69,40.97,28,Perdido,Ventas_Web,Online
TRX-10024,PROD-3661,2025-12-02,7,823.34,52.345,6,En Camino,Ventas_Web,App
TRX-10025,PROD-3872,2025-06-06,6,1442.68,18.69,27,Perdido,Barranquilla,App
TRX-10026,PROD-3232,2024-10-26,11,392.84,51.85,9,Devuelto,Bogotá,App
TRX-10027,PROD-2718,2024-10-11,6,1645.52,11.79,23,Perdido,Medellín,Online
TRX-10028,PROD-1902,2025-02-21,9,659.0,54.6,3,Entregado,Cali,Físico
TRX-10029,PROD-2839,2026-01-25,8,893.54,6.84,7,Perdido,Ventas_Web,Físico
TRX-10030,PROD-3413,2025-06-09,14,1546.96,74.22,12,Devuelto,Barranquilla,App
TRX-10031,PROD-2139,2025-03-05,8,1254.53,51.36,18,Devuelto,Bucaramanga,Online
TRX-10032,PROD-1026,2024-12-08,6,622.97,48.6,10,Perdido,Bogotá,WhatsApp
TRX-10033,PROD-1653,2025-08-02,5,778.54,23.64,2,Perdido,Bucaramanga,WhatsApp
TRX-10034,PROD-3859,2025-11-12,9,618.52,39.32,17,Perdido,Medellín,App
TRX-10035,PROD-2731,2025-02-06,12,1193.59,22.28,3,Desconocido,Barranquilla,Online
TRX-10036,PROD-2393,2025-09-16,2,671.92,52.345,1,Desconocido,Barranquilla,WhatsApp
TRX-10037,PROD-2138,2025-04-18,7,1454.14,74.86,8,Retrasado,Medellín,WhatsApp
TRX-10038,PROD-1636,2025-05-22,6,1163.78,23.91,13,En Camino,Medellín,WhatsApp
TRX-10039,PROD-1881,2024-11-28,7,299.96,63.59,11,Perdido,Barranquilla,Físico
TRX-10040,PROD-2378,2025-01-16,12,627.43,31.56,8,Perdido,Bogotá,Físico
TRX-10041,PROD-1418,2025-10-31,4,450.68,67.41,20,En Camino,Ventas_Web,WhatsApp
TRX-10042,PROD-1379,2025-04-12,9,786.72,56.34,1,Entregado,Bogotá,Online
TRX-10043,PROD-2556,2025-10-03,7,1036.81,45.23,2,Retrasado,Bogotá,WhatsApp
TRX-10044,PROD-1396,2025-05-30,2,1018.46,68.94,18,Retrasado,Medellín,WhatsApp
TRX-10045,PROD-2470,2025-12-12,13,1511.5,44.49,18,Entregado,Medellín,Físico
TRX-10046,PROD-2408,2025-12-08,4,386.45,83.03,9,En Camino,Bogotá,Online
TRX-10047,PROD-3472,2025-06-27,5,1893.48,74.31,7,En Camino,Cali,App
TRX-10048,PROD-2083,2025-01-12,2,692.26,52.345,9,Devuelto,Medellín,Online
TRX-10049,PROD-1177,2025-12-17,10,607.5,56.36,10,En Camino,Bogotá,Online
TRX-10050,PROD-3988,2025-08-19,8,1373.51,88.32,26,Desconocido,Cali,Físico
TRX-10051,PROD-2881,2026-01-08,1,1612.98,83.74,2,Retrasado,Cali,Online
TRX-10052,PROD-3196,2025-05-14,3,763.16,55.52,5,Desconocido,Medellín,Físico
TRX-10053,PROD-1511,2025-03-17,14,1496.23,11.5,17,Devuelto,Bogotá,Online
TRX-10054,PROD-2550,2025-10-19,1,1768.63,58.77,2,Perdido,Bogotá,Físico
TRX-10055,PROD-1322,2025-12-23,5,1535.94,38.75,20,Perdido,Bogotá,Online
TRX-10056,PROD-3261,2025-02-12,8,78.05,56.31,10,Perdido,Medellín,Online
TRX-10057,PROD-2200,2024-10-24,7,1656.46,66.48,1,Devuelto,Bogotá,Online
TRX-10058,PROD-3574,2025-03-22,9,1551.22,66.26,12,Retrasado,Barranquilla,Online
TRX-10059,PROD-3533,2024-11-28,2,1341.89,68.98,24,En Camino,Cali,App
TRX-10060,PROD-2481,2024-09-26,12,1522.44,52.345,15,Devuelto,Bucaramanga,App
TRX-10061,PROD-3364,2025-07-05,8,1959.06,69.53,6,Retrasado,Barranquilla,Físico
TRX-10062,PROD-1787,2025-06-18,8,867.91,15.38,14,En Camino,Barranquilla,App
TRX-10063,PROD-3885,2025-05-16,14,143.77,23.21,14,Entregado,Cali,WhatsApp
TRX-10064,PROD-1284,2025-06-26,6,927.17,64.9,15,Retrasado,Bogotá,App
TRX-10065,PROD-1187,2024-11-02,3,102.4,43.78,1,Desconocido,Ventas_Web,Físico
TRX-10066,PROD-3708,2025-01-21,2,595.56,77.47,25,Desconocido,Cali,WhatsApp
TRX-10067,PROD-1933,2026-01-29,14,1177.89,16.87,17,Entregado,Cali,App
TRX-10068,PROD-2185,2025-06-24,8,626.15,23.19,11,Perdido,Medellín,WhatsApp
TRX-10069,PROD-1326,2025-05-11,6,1373.94,58.05,15,Perdido,Bogotá,WhatsApp
TRX-10070,PROD-1953,2025-07-23,4,1645.75,52.57,20,Retrasado,Ventas_Web,WhatsApp
TRX-10071,PROD-1413,2024-12-17,5,846.67,30.31,16,Desconocido,Bogotá,Físico
TRX-10072,PROD-2556,2024-11-24,5,1801.27,52.345,21,Entregado,Medellín,App
TRX-10073,PROD-2138,2025-10-31,13,168.88,43.79,29,Devuelto,Bogotá,Físico
TRX-10074,PROD-2857,2025-04-02,9,1681.83,8.32,27,En Camino,Bogotá,Físico
TRX-10075,PROD-3603,2025-07-12,13,1658.86,8.52,9,Perdido,Cali,App
TRX-10076,PROD-2494,2024-10-23,13,650.77,14.02,29,Perdido,Ventas_Web,Físico
TRX-10077,PROD-1666,2025-08-18,9,604.44,59.8,12,Perdido,Barranquilla,Online
TRX-10078,PROD-2516,2025-02-15,8,617.14,87.05,2,Perdido,Cali,App
TRX-10079,PROD-2455,2025-01-07,8,1624.67,29.72,15,Desconocido,Cali,Online
TRX-10080,PROD-1858,2025-09-16,12,1664.99,8.22,28,Retrasado,Ventas_Web,App
TRX-10081,PROD-3745,2025-01-10,2,666.15,72.32,9,Desconocido,Ventas_Web,App
TRX-10082,PROD-2093,2025-06-25,14,1189.25,86.26,28,Retrasado,Barranquilla,Físico
TRX-10083,PROD-3874,2025-04-20,3,286.48,18.13,16,Entregado,Bucaramanga,Físico
TRX-10084,PROD-3799,2025-02-08,14,942.87,52.345,17,Devuelto,Medellín,Físico
TRX-10085,PROD-3654,2024-12-17,8,1997.6,41.65,20,Entregado,Medellín,WhatsApp
TRX-10086,PROD-1292,2024-11-05,13,326.09,20.08,27,Desconocido,Bucaramanga,App
TRX-10087,PROD-3495,2024-12-13,5,1895.65,15.1,23,Desconocido,Cali,WhatsApp
TRX-10088,PROD-3600,2024-11-25,7,1650.27,66.58,4,Devuelto,Bogotá,Físico
TRX-10089,PROD-1700,2025-10-05,14,1944.71,96.92,8,Retrasado,Bogotá,Online
TRX-10090,PROD-3187,2025-11-14,8,367.36,69.43,7,Perdido,Barranquilla,Online
TRX-10091,PROD-3986,2025-08-31,6,434.9,98.56,6,Entregado,Cali,App
TRX-10092,PROD-2002,2025-08-09,5,43.57,46.27,5,Devuelto,Bogotá,WhatsApp
TRX-10093,PROD-1669,2024-11-16,8,1452.16,90.3,10,En Camino,Barranquilla,App
TRX-10094,PROD-2893,2024-12-05,1,1291.75,24.48,3,Devuelto,Barranquilla,Físico
TRX-10095,PROD-2554,2025-09-30,1,364.35,16.2,24,Entregado,Medellín,WhatsApp
TRX-10096,PROD-2105,2025-01-29,1,1584.38,52.345,20,Retrasado,Ventas_Web,Online
TRX-10097,PROD-3621,2025-06-05,3,605.4,71.74,24,Perdido,Barranquilla,Físico
TRX-10098,PROD-3818,2025-11-18,10,278.64,40.28,17,En Camino,Cali,Físico
TRX-10099,PROD-3281,2025-05-11,13,850.9,35.18,16,Entregado,Medellín,Físico
TRX-10101,PROD-3804,2025-02-06,12,533.85,36.68,13,Devuelto,Medellín,Físico
TRX-10102,PROD-2328,2025-09-08,6,748.95,59.39,18,Retrasado,Cali,Online
TRX-10103,PROD-1229,2025-12-21,6,1705.21,33.45,14,Retrasado,Medellín,Físico
TRX-10104,PROD-1938,2025-10-28,5,1587.17,79.46,2,Perdido,Bucaramanga,WhatsApp
TRX-10105,PROD-1131,2025-09-12,13,891.08,34.68,12,Entregado,Ventas_Web,WhatsApp
TRX-10106,PROD-2292,2025-01-12,13,1451.9,55.82,22,Desconocido,Medellín,Online
TRX-10107,PROD-2643,2026-01-20,14,1141.61,7.2,21,Retrasado,Medellín,WhatsApp
