Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-10000,PROD-3619,2025-04-25,-5,1752.48,,999,Entregado,Bucaramanga,Físico
TRX-10100,PROD-1899,2026-02-01,-5,191.03,68.77,11,Retrasado,Bogotá,WhatsApp
TRX-10200,PROD-3997,2025-05-31,-5,1354.72,41.72,999,En Camino,MED,Online
TRX-10300,PROD-3671,2024-11-29,-5,1886.06,,5,Entregado,Barranquilla,App
TRX-10400,PROD-3881,2024-10-30,-5,1944.96,44.53,999,,Cali,Físico
TRX-10500,PROD-3703,2024-12-07,-5,329.5,83.56,25,En Camino,BOG,Online
TRX-10600,PROD-3536,2024-11-12,-5,58.6,,999,Perdido,Bogotá,App
TRX-10700,PROD-3358,2025-03-09,-5,1289.76,19.99,5,Entregado,Barranquilla,Online
TRX-10800,PROD-3828,2025-09-15,-5,1966.6,34.8,999,Entregado,Medellín,Físico
TRX-10900,PROD-2742,2025-12-12,-5,741.56,,9,Perdido,BOG,WhatsApp
TRX-11000,PROD-1643,2025-03-18,-5,711.6,78.98,999,En Camino,MED,WhatsApp
TRX-11100,PROD-3253,2024-12-18,-5,442.81,32.02,15,Perdido,Bogotá,Físico
TRX-11200,PROD-2682,2024-12-24,-5,758.48,,999,Perdido,Cali,Físico
TRX-11300,PROD-3238,2026-01-17,-5,1713.12,79.2,5,Entregado,Barranquilla,Online
TRX-11400,PROD-3394,2025-08-23,-5,1913.7,91.3,999,En Camino,Medellín,Online
TRX-11500,PROD-3707,2025-09-09,-5,289.32,,10,,Barranquilla,Físico
TRX-11600,PROD-1532,2025-07-09,-5,1293.0,6.73,999,,Medellín,App
TRX-11700,PROD-1454,2025-08-15,-5,1525.88,23.52,9,Retrasado,Barranquilla,WhatsApp
TRX-11800,PROD-3023,2025-04-26,-5,741.88,,999,,Bogotá,App
TRX-11900,PROD-2432,2025-01-27,-5,939.1,13.57,6,En Camino,Bogotá,Físico
TRX-12000,PROD-1656,2024-12-28,-5,780.81,70.33,999,Perdido,BOG,Online
TRX-12100,PROD-1066,2025-05-18,-5,1163.21,,9,En Camino,Barranquilla,App
TRX-12200,PROD-2488,2025-10-14,-5,762.44,32.74,999,Perdido,BOG,App
TRX-12300,PROD-3944,2025-08-07,-5,1237.94,64.56,3,Retrasado,Ventas_Web,Online
TRX-12400,PROD-2280,2025-07-30,-5,878.42,,999,Retrasado,MED,App
