Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,_catalog_match,NPS,Rating_Producto,Rating_Logistica,Ticket_Soporte,Venta_Fantasma,Ingreso_USD,Margen_USD,Margen_Pct,Brecha_Entrega_Dias
TRX-10001,PROD-1456,2025-07-29,12,686.88,67.16,29,Entregado,Ventas_Web,WhatsApp,Laptops,1935.0,245.14,115.0,10.0,NORTE,2025-11-16,both,-45.6,3.0,1.0,1.0,False,8242.56,5233.719999999999,63.49629241400729,19.0
TRX-10002,PROD-1102,2025-05-31,2,402.06,32.55,13,Perdido,Medellín,Físico,Tablets,1180.0,722.77,203.0,3.0,NORTE,2025-05-16,both,,,,,False,804.12,-673.9699999999999,-83.81460478535541,10.0
TRX-10003,PROD-2126,2026-01-23,4,665.98,62.64,12,Perdido,Medellín,Online,Accesorios,856.0,1288.22,261.0,3.0,ZONA_FRANCA,2024-09-04,both,,,,,False,2663.92,-2551.6,-95.78365716688188,9.0
TRX-10004,PROD-2003,2025-10-09,5,1222.62,52.91,15,Entregado,Bogotá,App,Laptops,1399.0,839.17,193.0,27.5,BOD-EXT-99,2025-09-02,both,,,,,False,6113.099999999999,1864.34,30.497456282409907,-12.5
TRX-10005,PROD-1914,2025-11-05,2,740.61,25.63,29,Retrasado,Medellín,Online,Accesorios,1544.0,440.28,178.0,10.0,BOD-EXT-99,2024-03-17,both,,,,,False,1481.22,575.0300000000001,38.82137697303575,19.0
TRX-10006,PROD-1571,2025-06-20,12,1349.06,30.32,23,Desconocido,Bogotá,Físico,Smartphones,1618.0,1496.74,292.0,10.0,NORTE,2025-07-30,both,,,,,False,16188.72,-1802.4800000000016,-11.134172436116021,13.0
TRX-10007,PROD-1419,2025-11-18,8,481.5,21.21,13,Perdido,Cali,App,Laptops,430.0,479.1,207.0,10.0,BOD-EXT-99,2024-05-06,both,,,,,False,3852.0,-2.0100000000001828,-0.0521806853582602,3.0
TRX-10008,PROD-3771,2025-11-03,1,1404.98,10.38,6,Desconocido,Medellín,App,,,,,,,,left_only,31.150000000000002,2.0,2.0,0.0,True,1404.98,,,
TRX-10009,PROD-3233,2025-03-21,3,701.4,63.82,26,Desconocido,Medellín,Físico,Smartphones,1514.0,463.84,245.0,27.5,NORTE,2024-05-13,both,,,,,False,2104.2,648.8599999999998,30.836422393308617,-1.5
TRX-10010,PROD-1356,2025-04-04,7,917.18,68.91,14,Entregado,Bogotá,App,Tablets,1776.0,469.69,215.0,0.0,NORTE,2025-06-30,both,-80.1,5.0,1.0,0.0,False,6420.259999999999,3063.5199999999995,47.71644762050135,14.0
